title,stock,categories
[HG] 00 Gundam Seven Sword/G,In stock,[HG] High Grade
[1/100] Calamity Gundam (Full Mechanics),Only 1 left in stock,"[1/100] No Grade & RE, PO"
[1/48] MS-06S Zaku II – Char Aznable use (Mega Size),Only 1 left in stock,[1/48] Mega Size
30mm Customize Effect – Slash Image Ver. – Blue,In stock,Action Base & Misc.
30mm Customize Effect – Slash Image Ver. – Green,In stock,Action Base & Misc.
3D Embossing Tape for Lining – Black – Dymo / Cidy,In stock,Tools
3M Softback Sanding Sponge – Fine,In stock,Tools
3M Softback Sanding Sponge – Micro Fine,In stock,Tools
3M Softback Sanding Sponge set 4pcs – Fine | Super | Ultra | Micro,In stock,Tools
3M Softback Sanding Sponge – Super Fine,In stock,Tools
3M Softback Sanding Sponge – Ultra Fine,In stock,Tools
Action Base 1 – Black,In stock,Action Base & Misc.
Action Base 1 – Clear,In stock,Action Base & Misc.
Action Base 1 – Gray,In stock,Action Base & Misc.
Action Base 1 – White,In stock,Action Base & Misc.
Action Base 2 – Black,In stock,Action Base & Misc.
Action Base 2 – Clear Blue,In stock,Action Base & Misc.
Action Base 2 – Gray,In stock,Action Base & Misc.
Action Base 2 – Sparkle Green,In stock,Action Base & Misc.
Action Base 2 – Sparkle Red,In stock,Action Base & Misc.
Action Base 4 – Clear,In stock,Action Base & Misc.
Action Base 5 – Black,In stock,Action Base & Misc.
Action Base 5 – Clear,In stock,Action Base & Misc.
Airbrush System for Gundam Marker,In stock,Tools
Atra Mixta – Official IBO Chara Key Chain,Only 1 left in stock,Collectibles
Bandai Spirits Build Up Nipper,In stock,Tools
Bandai Spirits Entry Nipper – Blue,In stock,Tools
Bandai Spirits Entry Nipper – Red,Only 1 left in stock,Tools
Bandai Spirits Entry Nipper – White,In stock,Tools
[Converge] Aile Strike Gundam – Vol. #20 | No. 236,In stock,Gundam Converge
[Converge] Bolinoak Sammahn,In stock,Gundam Converge
[Converge] Crossbone Gundam X-0 / X0 – Vol. #20 | No. 239,In stock,Gundam Converge
[Converge] Doven Wolf,In stock,Gundam Converge
[Converge] Duel Gundam – Vol. #20 | No. 237,In stock,Gundam Converge
[Converge] Gaplant,Only 1 left in stock,Gundam Converge
[Converge] Gerbera Tetra,Only 1 left in stock,Gundam Converge
[Converge] GM Command – #18,Only 1 left in stock,Gundam Converge
[Converge] Gogg – #16,Only 1 left in stock,Gundam Converge
[Converge] Gun Blaster – #18,Only 1 left in stock,Gundam Converge
[Converge] Guncannon Mass Production – Vol. #20 | No. 240,In stock,Gundam Converge
[Converge] Gundam Geminass 01 – #18,Only 1 left in stock,Gundam Converge
[Converge] Rick Dom Zwei – Vol. #20 | No. 241,In stock,Gundam Converge
[Converge] Second Victory Gundam / Second V – Vol. 20 | No. 238,Only 1 left in stock,Gundam Converge
[Converge] Victory Two Gundam – #18,In stock,Gundam Converge
[Converge] ZGok / Z’Gok (Char Aznable use) – #15,Only 1 left in stock,Gundam Converge
[Converge] ZGok / Z’Gok (mass production ver.) – #17,In stock,Gundam Converge
DSPIAE Adhesive Sanding Paper – Amplas Kertas / Sand Paper,In Stock,Tools
DSPIAE AL-1 Antirust Oil,In stock,Tools
DSPIAE Carving Guide Tape – 30m,In Stock,Tools
DSPIAE Large Sanding Board Stick – 3pcs (Papan Amplas Aluminium Alloy),In Stock,Tools
DSPIAE Small Sanding Board Stick – 4pcs (Papan Amplas Aluminium Alloy),In Stock,Tools
DSPIAE ST-A 3.0 Single Blade Nipper,In stock,Tools
Ein Dalton – Official IBO Chara Key Chain,Only 1 left in stock,Collectibles
[Entry Grade] Kamen Rider Saber,In stock,Non Scale
[Entry Grade] RX-78-2 Gundam,In stock,Non Scale
FA-78-1 Full Armor Gundam Head – Exceed Model,Only 1 left in stock,Collectibles
[Figure Rise] Black Metalgarurumon (Standard Amplified),In Stock,"Digimon, PO"
[Figure Rise] Black Wargreymon (Amplified),Only 1 left in stock,Non Scale
[Figure Rise] Dukemon / Gallantmon (Standard Amplified),In Stock,"Digimon, PO"
[Figure Rise] Imperialdramon / Imperial Dramon (Amplified),In Stock,"Digimon, Non Scale"
[Figure Rise] Machinedramon / Mugendramon (Standard Amplified),In Stock,Digimon
Figure-rise Standard Yuuki Asuna – SAO,Only 1 left in stock,Non Scale
FW Gundam Converge Another Century Set 10th Anniversary (PBandai),In stock,"Gundam Converge, PO"
FW Gundam Converge Universal Century Set 10th Anniversary (PBandai),In stock,"Gundam Converge, PO"
[GFrame] Gelgoog Armor & Frame Set – Vol. 08 / 8,Only 1 left in stock,GFrame
[GFrame] Gelgoog (Char use) Armor & Frame set – Vol. 04 / 4,Only 1 left in stock,GFrame
[GFrame] Gundam Ground Type Armor & Frame Set – Vol. 06 / 6,Only 1 left in stock,GFrame
[GFrame] MSN-06S Sinanju Armor & Frame Set – Vol. 09 / 9,Only 1 left in stock,GFrame
[GFrame] RGM-79 GM Armor & Frame Set – Vol. 09 / 9,In stock,GFrame
[GFrame] RX-77-2 Guncannon Armor & Frame Set – Vol. 06 / 6,Only 1 left in stock,GFrame
[GFrame] RX-78-4 Gundam Unit 4 G04 Armor & Frame Set – Vol. 07 / 7,In stock,GFrame
[GFrame] RX-79[G] Gundam EZ8 Armor & Frame Set – Vol. 08 / 8,Only 1 left in stock,GFrame
[GFrame] RX-93 Nu Gundam Armor & Frame Set – Vol. 01 / 1,Only 1 left in stock,GFrame
Gorirander / Rillaboom – Pokemon Scale World Galar (PBandai),Only 1 left in stock,Pokemon
GP Base,In stock,Action Base & Misc.
Green & Arcanine – Pokemon Scale World (PBandai),In Stock,"PO, Pokemon"
Gundam Exia Repair IV – Metal Build,Only 1 left in stock,[MB] Metal Build
Gundam Marker Black (GM10),In stock,[GM] Gundam Marker
Gundam Marker Blue (GM06),In stock,[GM] Gundam Marker
Gundam Marker Brush Type – Black (GM20),In stock,[GM] Gundam Marker
Gundam Marker Brush Type – Gray (GM21),In stock,[GM] Gundam Marker
Gundam Marker Eye Green (GM09),In stock,[GM] Gundam Marker
Gundam Marker GM-303 Pour Type For Panel Line – Brown,In stock,[GM] Gundam Marker
Gundam Marker Grey (GM12),In stock,[GM] Gundam Marker
Gundam Marker Mecha Gray (GM13),In stock,[GM] Gundam Marker
Gundam Marker Metallic – Meta Blue (GM17),In stock,[GM] Gundam Marker
Gundam Marker Metallic – Meta Green (GM18),In stock,[GM] Gundam Marker
Gundam Marker GM-302 Pour Type for Panel Line – Grey,In stock,[GM] Gundam Marker
Gundam Marker Real Touch – Blurring Pen (GM400),In stock,[GM] Gundam Marker
Gundam Marker Real Touch – Brown 1 (GM407),In stock,[GM] Gundam Marker
Gundam Marker Real Touch – Gray 2 (GM402),In stock,[GM] Gundam Marker
Gundam Marker Real Touch – Gray 3 (GM406),In stock,[GM] Gundam Marker
Gundam Marker Real Touch – Red 1 (GM404),In stock,[GM] Gundam Marker
Gundam Marker Real Touch Set 1,In stock,[GM] Gundam Marker
Gundam Marker Real Touch Set 2,In stock,[GM] Gundam Marker
Gundam Marker Red (GM07),In stock,[GM] Gundam Marker
Gundam Marker Set – Advance,In stock,[GM] Gundam Marker
Gundam Marker Set (Ultra Thin Pen Point) for Lining – Grey & Brown (GM02 + GM03),In stock,[GM] Gundam Marker
Gundam Marker (Ultra Thin Pen Point) for Lining – Brown (GM03),In stock,[GM] Gundam Marker
Gundam Marker (Ultra Thin Pen Point) for Lining – Grey (GM02),In stock,[GM] Gundam Marker
Gundam Marker White (GM11),In stock,[GM] Gundam Marker
Gundam Marker Yellow (GM08),In stock,[GM] Gundam Marker
[HaroPla] Haro Control Blue,In stock,Non Scale
[HaroPla] Haro Diva Red,In stock,Non Scale
[HaroPla] Haro Loader,Only 1 left in stock,Non Scale
[HaroPla] Haro Shooting Orange,In stock,Non Scale
[HaroPla] Harofitter / Haro Fitter,In stock,Non Scale
[HG] 00 Raiser Designer Color Ver.,Only 1 left in stock,[HG] High Grade
[HG] 00 Raiser (GN Condenser Type),In stock,[HG] High Grade
[HG] 00 Raiser + GN Sword III,In stock,[HG] High Grade
[HG] Aile Strike Gundam (HGCE),In stock,[HG] High Grade
[HG] Alus Earthree Gundam,Only 1 left in stock,[HG] High Grade
[HG] AMS-119 Geara Doga,Only 1 left in stock,[HG] High Grade
[HG] AMS-129 Geara Zulu (Guards Type),Only 1 left in stock,[HG] High Grade
[HG] Aun Rize Armor,In stock,[HG] High Grade
[HG] Base Jabber (Unicorn Ver.),Only 1 left in stock,[HG] High Grade
[HG] Build Strike Gundam Full Package,Only 1 left in stock,[HG] High Grade
[HG] CGUE Type DEEP Arms,Only 1 left in stock,[HG] High Grade
[HG] Changeling Rifle,In stock,[HG] High Grade
[HG] Core Gundam & Marsfour Unit,In stock,[HG] High Grade
[HG] Core Gundam & Veetwo Unit,In stock,[HG] High Grade
[HG] Crossbone Gundam X1,Only 1 left in stock,[HG] High Grade
[HG] Danazine,Only 1 left in stock,[HG] High Grade
[HG] Destiny Gundam (HGCE),In stock,[HG] High Grade
[HG] Dreadnought Gundam,Only 1 left in stock,[HG] High Grade
[HG] Earthree Gundam,In stock,[HG] High Grade
[HG] Extreme Gundam,In stock,[HG] High Grade
[HG] Fake Nu Unit,Only 1 left in stock,[HG] High Grade
[HG] Force Impulse Gundam,In stock,[HG] High Grade
[HG] Freedom Gundam (35th Revive),In stock,[HG] High Grade
[HG] G-Exes,In stock,[HG] High Grade
[HG] G Xiphos,Only 1 left in stock,[HG] High Grade
[HG] GM Custom,In stock,[HG] High Grade
[HG] GM Ground Type,Only 1 left in stock,[HG] High Grade
[HG] GM Striker,Only 1 left in stock,[HG] High Grade
[HG] GM/GM,Only 1 left in stock,[HG] High Grade
[HG] GNT-0000 00 Qan[T] (QanT / Quanta),In stock,[HG] High Grade
[HG] God Gundam,In stock,[HG] High Grade
[HG] Gouf Custom,In stock,[HG] High Grade
[HG] Ground Gundam Type S (Gundam Thunderbolt Anime ver.),Only 1 left in stock,[HG] High Grade
[HG] Gundam 00 Shia Qan[T] (QanT / Quanta),Only 1 left in stock,[HG] High Grade
[HG] Gundam 00 Sky Moebius,In stock,[HG] High Grade
[HG] Gundam Aegis Knight,In stock,[HG] High Grade
[HG] Gundam AGE 1 Full Glansa,In stock,[HG] High Grade
[HG] Gundam AGE 1 Normal,In stock,[HG] High Grade
[HG] Gundam AGE 1 Titus,In stock,[HG] High Grade
[HG] Gundam AGE 2 Dark Hound,In stock,[HG] High Grade
[HG] Gundam AGE 2 Double Bullet,In stock,[HG] High Grade
[HG] Gundam AGE 2 Normal,Only 1 left in stock,[HG] High Grade
[HG] Gundam AGE 3 Normal,Only 1 left in stock,[HG] High Grade
[HG] Gundam AGE FX,In stock,[HG] High Grade
[HG] Gundam Amazing Exia,In stock,[HG] High Grade
[HG] Gundam Anima Rize,In stock,[HG] High Grade
[HG] Gundam Astaroth,In stock,[HG] High Grade
[HG] Gundam Astraea,In stock,[HG] High Grade
[HG] Gundam Astraea Type F,In stock,[HG] High Grade
[HG] Gundam Astray Blue Frame Second L,In stock,[HG] High Grade
[HG] Load Astray Double Rebake,In stock,[HG] High Grade
[HG] Gundam Avalanche Exia,In stock,[HG] High Grade
[HG] Gundam Barbatos,In stock,[HG] High Grade
[HG] Gundam Barbatos Lupus,Only 1 left in stock,[HG] High Grade
[HG] Gundam Deathscythe (HGAC),In stock,"[HG] High Grade, PO"
[HG] Gundam Dynames,In stock,[HG] High Grade
[HG] Gundam Exia,In stock,[HG] High Grade
[HG] Gundam Exia Dark Matter,In stock,[HG] High Grade
[HG] Gundam F91,In stock,[HG] High Grade
[HG] Gundam Fenice Rinascita,In stock,[HG] High Grade
[HG] Gundam G Else,Only 1 left in stock,[HG] High Grade
[HG] Gundam G-Else [Before] (PBandai),Only 1 left in stock,"[HG] High Grade, P-Bandai & Limited Ed."
[HG] Gundam G-Self Atmospheric Pack,Only 1 left in stock,[HG] High Grade
[HG] Gundam G-Self Perfect Pack,In stock,[HG] High Grade
[HG] Gundam GP Rase Two Ten,In stock,[HG] High Grade
[HG] Gundam GP02A (Type MLRS),In stock,[HG] High Grade
[HG] Gundam Ground Type – Revive,Only 1 left in stock,[HG] High Grade
[HG] Gundam Hajiroboshi,In stock,[HG] High Grade
[HG] Gundam Harute,In stock,[HG] High Grade
[HG] Gundam Heavyarms / Heavy Arms (HGAC),In stock,[HG] High Grade
[HG] Gundam Kyrios,In stock,[HG] High Grade
[HG] Gundam Legilis,Only 1 left in stock,[HG] High Grade
[HG] Gundam Marchosias,In stock,[HG] High Grade
[HG] Gundam Nadleeh,In stock,[HG] High Grade
[HG] Gundam Narrative C Packs,Only 1 left in stock,[HG] High Grade
[HG] Gundam Plutone (PBandai),Only 1 left in stock,"[HG] High Grade, P-Bandai & Limited Ed."
[HG] Gundam Schwarz Ritter,In stock,[HG] High Grade
[HG] Gundam Shining Break,In stock,[HG] High Grade
[HG] Gundam Tertium,In stock,[HG] High Grade
HG Gundam The Origin Multiuse Series 3 Bandai Water Decal,Only 1 left in stock,Decal
[HG] Gundam Throne Eins,In stock,[HG] High Grade
[HG] Gundam Try Age Magnum,In stock,[HG] High Grade
[HG] Gundam Virtue,In stock,[HG] High Grade
[HG] Gundam Virtue – Trans Am,In stock,[HG] High Grade
[HG] Gundam Zabanya,In stock,[HG] High Grade
[HG] Gunpla Starter Set Vol.2: RX-78-2 Gundam & Gundam Marker Set,Only 1 left in stock,[HG] High Grade
[HG] Gustav Karl (Unicorn Ver.),In stock,[HG] High Grade
[HG] Hyaku Shiki (Revive),In stock,[HG] High Grade
[HG] Impulse Gundam Lancier,Only 1 left in stock,[HG] High Grade
[HG] Infinite Justice Gundam (HGCE),In stock,[HG] High Grade
[HG] Jegan Blast Master (Blastmaster),In stock,[HG] High Grade
[HG] Jesta,In stock,[HG] High Grade
[HG] Jesta Shezarr Type – Team A,Only 1 left in stock,"[HG] High Grade, P-Bandai & Limited Ed."
[HG] Jupitive Gundam,In stock,[HG] High Grade
[HG] Kamiki Burning Gundam,Only 1 left in stock,[HG] High Grade
[HG] MS-18E Kampfer,In stock,[HG] High Grade
[HG] Lightning Gundam,In stock,[HG] High Grade
[HG] Loto Twin Set,Only 1 left in stock,[HG] High Grade
[HG] Mazinkaiser – Infinitism,In stock,[HG] High Grade
[HG] Mercurius & Vayeate (HGAC),In stock,"[HG] High Grade, P-Bandai & Limited Ed."
[HG] Mobile Bucue (Remaster – R11),Only 1 left in stock,[HG] High Grade
[HG] MS-05S Zaku I – The Origin (Char Aznable use),In stock,[HG] High Grade
[HG] MS-06 Zaku II F2 EFSF / EFF Ver.,Only 1 left in stock,[HG] High Grade
[HG] MS-06FZ Zaku II FZ (Kai),In stock,[HG] High Grade
[HG] MS-06S Char’s Zaku II (HGUC – 40th),In stock,[HG] High Grade
[HG] MS-06S Zaku II [Red Comet Ver.],In stock,[HG] High Grade
[HG] MS-07B Gouf (Revive),In stock,[HG] High Grade
[HG] MS-09 Dom / MS-09R Rick Dom,Only 1 left in stock,[HG] High Grade
[HG] MS-09F DomTropen / Dom Tropen Sand Brown,Only 1 left in stock,[HG] High Grade
[HG] MS Option Set 1 & CGS Mobile Worker,In stock,[HG] High Grade
[HG] MS Option Set 9,In stock,[HG] High Grade
[HG] MS-14S Char’s Gelgoog,In stock,[HG] High Grade
[HG] MSA-0011 EXT EX-S Gundam,In stock,[HG] High Grade
[HG] MSM-04G Juaggu Unicorn ver.,In stock,[HG] High Grade
[HG] MSM-04 Acguy,In stock,[HG] High Grade
[HG] MSM-07 ZGok / Z’Gok,Only 1 left in stock,[HG] High Grade
[HG] MSN-001A1 Delta Plus,In stock,[HG] High Grade
[HG] MSN-02 Zeong,In stock,[HG] High Grade
[HG] MSN-04 Sazabi,Only 1 left in stock,[HG] High Grade
[HG] Nepteight Unit,In stock,[HG] High Grade
[HG] Nepteight Weapons,In stock,[HG] High Grade
[HG] NZ-666 Kshatriya,In stock,[HG] High Grade
[HG] Ogre GN X,Only 1 left in stock,[HG] High Grade
[HG] Oowashi Akatsuki Gundam,In stock,[HG] High Grade
[HG] ORX-005 Gaplant TR-5 (Hrairoo),Only 1 left in stock,[HG] High Grade
[HG] Penelope,Only 1 left in stock,[HG] High Grade
[HG] Petitgguy Burning Red,Only 1 left in stock,[HG] High Grade
[HG] Raider Gundam (Remaster – R10),Only 1 left in stock,[HG] High Grade
[HG] Re:Rising Gundam,In stock,[HG] High Grade
[HG] RGM-79SP GM Sniper II,Only 1 left in stock,[HG] High Grade
[HG] RGM-96X Jesta Cannon,In stock,[HG] High Grade
[HG] Rick Dias (Quattro Custom),In stock,[HG] High Grade
[HG] RX-0 Unicorn Gundam 02 Banshee [Destroy Mode],In stock,[HG] High Grade
[HG] RX-0 Unicorn Gundam [Destroy Mode],In stock,[HG] High Grade
[HG] RX-0 Unicorn Gundam [Unicorn Mode],In stock,[HG] High Grade
[HG] RX-0[N] Unicorn 02 Banshee Norn [Destroy Mode],In stock,[HG] High Grade
[HG] RX-121-1 Gundam TR-1 [Hazel Custom],In stock,[HG] High Grade
[HG] RX-121-2 Gundam TR-1 [Hazel II],Only 1 left in stock,[HG] High Grade
[HG] RX-178 Gundam MK II AEUG (35th REVIVE),In stock,[HG] High Grade
